"INDIVIDUO","PLOT","ROW","COL","TIPO","GEN","PLANTA","geo_coordinates","Altura De Planta (cm)","Altura De Cápsulas","Número De Ramificações","Número De Plantas D","Número De Plantas M","Massa De Cápsula","Cápsulas","Massa De Grãos","Grãos - contagem","Grãos - Cor","Obs","Colheita","Florescimento Inicial","Florescimento Final","Severidade De Doenças","Acamamento","Cor Do grãos","Foto MMG","Massa MMG","RGB"
"433","87","6","12","MARROM","G171","P3","","78","39","1",,,"0.32","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F433_C%C3%A1psulas_1_2023-11-10-04-33-11.jpg","0.2","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F433_Gr%C3%A3os%20-%20contagem_1_2023-11-10-04-51-15.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F433_Gr%C3%A3os%20-%20Cor_1_2023-11-10-04-51-33.jpg",,,,,,,,,,
"434","87","6","12","MARROM","G171","P4","","78","38","4",,,"2.29","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F434_C%C3%A1psulas_1_2023-11-10-04-33-52.jpg","1.89","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F434_Gr%C3%A3os%20-%20contagem_1_2023-11-10-04-52-09.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F434_Gr%C3%A3os%20-%20Cor_1_2023-11-10-04-52-17.jpg",,,,,,,,,,
"435","87","6","12","MARROM","G171","P5","","79","44","1",,,"0.7","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F435_C%C3%A1psulas_1_2023-11-10-04-34-41.jpg","0.51","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F435_Gr%C3%A3os%20-%20contagem_1_2023-11-10-04-53-38.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F435_Gr%C3%A3os%20-%20Cor_1_2023-11-10-04-53-46.jpg",,,,,,,,,,
"436","88","6","13","MARROM","G174","P1","",,,,,,,,,,,,,,,,,,,,
"437","88","6","13","MARROM","G174","P2","",,,,,,,,,,,,,,,,,,,,
"438","88","6","13","MARROM","G174","P3","",,,,,,,,,,,,,,,,,,,,
"439","88","6","13","MARROM","G174","P4","",,,,,,,,,,,,,,,,,,,,
"440","88","6","13","MARROM","G174","P5","",,,,,,,,,,,,,,,,,,,,
"441","89","6","14","MARROM","G175","P1","",,,,,,,,,,,,,,,,,,,,
"442","89","6","14","MARROM","G175","P2","",,,,,,,,,,,,,,,,,,,,
"443","89","6","14","MARROM","G175","P3","",,,,,,,,,,,,,,,,,,,,
"444","89","6","14","MARROM","G175","P4","",,,,,,,,,,,,,,,,,,,,
"445","89","6","14","MARROM","G175","P5","",,,,,,,,,,,,,,,,,,,,
"446","90","6","15","MARROM","G177","P1","",,,,,,,,,,,,,,,,,,,,
"447","90","6","15","MARROM","G177","P2","",,,,,,,,,,,,,,,,,,,,
"448","90","6","15","MARROM","G177","P3","",,,,,,,,,,,,,,,,,,,,
"449","90","6","15","MARROM","G177","P4","",,,,,,,,,,,,,,,,,,,,
"450","90","6","15","MARROM","G177","P5","",,,,,,,,,,,,,,,,,,,,
"451","91","7","1","MARROM","G178","P1","","88","49","3",,"2","0.8",,"0.46","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F451_Gr%C3%A3os%20-%20contagem_1_2023-10-26-03-29-43.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F451_Gr%C3%A3os%20-%20Cor_1_2023-10-26-03-31-45.jpg",,,,,,,,,,
"452","91","7","1","MARROM","G178","P2","","84","48","8",,,"1.79","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F452_C%C3%A1psulas_1_2023-10-26-03-21-53.jpg","1.11","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F452_Gr%C3%A3os%20-%20contagem_1_2023-10-26-03-33-56.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F452_Gr%C3%A3os%20-%20Cor_1_2023-10-26-03-34-47.jpg",,,,,,,,,,
"453","91","7","1","MARROM","G178","P3","",,,,,,,,,,,,,,,,,,,,
"454","91","7","1","MARROM","G178","P4","",,,,,,,,,,,,,,,,,,,,
"455","91","7","1","MARROM","G178","P5","",,,,,,,,,,,,,,,,,,,,
"456","92","7","2","MARROM","G185","P1","",,,,,,,,,,,,,,,,,,,,
"457","92","7","2","MARROM","G185","P2","",,,,,,,,,,,,,,,,,,,,
"458","92","7","2","MARROM","G185","P3","",,,,,,,,,,,,,,,,,,,,
"459","92","7","2","MARROM","G185","P4","",,,,,,,,,,,,,,,,,,,,
"460","92","7","2","MARROM","G185","P5","",,,,,,,,,,,,,,,,,,,,
"461","93","7","3","MARROM","G196","P1","","86","43","5",,,"1.43","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F461_C%C3%A1psulas_1_2024-02-15-06-21-02.jpg","1.05","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F461_Gr%C3%A3os%20-%20contagem_1_2024-02-15-06-25-23.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F461_Gr%C3%A3os%20-%20Cor_1_2024-02-15-06-25-59.jpg",,,,,,,,,,
"462","93","7","3","MARROM","G196","P2","","89","41","6",,,"5.3","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F462_C%C3%A1psulas_1_2024-02-15-06-21-54.jpg","3.61","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F462_Gr%C3%A3os%20-%20contagem_1_2024-02-15-06-27-28.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F462_Gr%C3%A3os%20-%20Cor_1_2024-02-15-06-27-47.jpg",,,,,,,,,,
"463","93","7","3","MARROM","G196","P3","","87.5","49","3",,,"2.33","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F463_C%C3%A1psulas_1_2024-02-15-06-23-35.jpg","1.58","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F463_Gr%C3%A3os%20-%20contagem_1_2024-02-15-06-29-50.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F463_Gr%C3%A3os%20-%20Cor_1_2024-02-15-06-30-29.jpg",,,,,,,,,,
"464","93","7","3","MARROM","G196","P4","","85","48","3",,,"1.58","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F464_C%C3%A1psulas_1_2024-02-15-06-24-14.jpg","1.26","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F464_Gr%C3%A3os%20-%20contagem_1_2024-02-15-06-31-28.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F464_Gr%C3%A3os%20-%20Cor_2_2024-02-15-06-31-53.jpg",,,,,,,,,,
"465","93","7","3","MARROM","G196","P5","",,,,,,,,,,,,,,,,,,,,
"466","94","7","4","MARROM","G202","P1","",,,,,,,,,,,,,,,,,,,,
"467","94","7","4","MARROM","G202","P2","",,,,,,,,,,,,,,,,,,,,
"468","94","7","4","MARROM","G202","P3","",,,,,,,,,,,,,,,,,,,,
"469","94","7","4","MARROM","G202","P4","",,,,,,,,,,,,,,,,,,,,
"470","94","7","4","MARROM","G202","P5","",,,,,,,,,,,,,,,,,,,,
"471","95","7","5","MARROM","G205","P1","","80","51","4","6",,"2.57","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F471_C%C3%A1psulas_1_2024-02-08-10-53-18.jpg","1.89","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F471_Gr%C3%A3os%20-%20contagem_1_2024-02-08-11-05-01.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F471_Gr%C3%A3os%20-%20Cor_1_2024-02-08-11-05-46.jpg",,,,,,,,,,
"472","95","7","5","MARROM","G205","P2","","100","57","5",,,"3.9","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F472_C%C3%A1psulas_1_2024-02-08-11-26-45.jpg","3.25","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F472_Gr%C3%A3os%20-%20contagem_1_2024-02-08-11-41-15.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F472_Gr%C3%A3os%20-%20Cor_1_2024-02-08-11-55-52.jpg",,,,,,,,,,
"473","95","7","5","MARROM","G205","P3","","63","40","3",,,"0.54","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F473_C%C3%A1psulas_1_2024-02-08-11-57-56.jpg","0.51","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F473_Gr%C3%A3os%20-%20contagem_1_2024-02-08-12-01-58.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F473_Gr%C3%A3os%20-%20Cor_1_2024-02-08-12-02-16.jpg",,,,,,,,,,
"474","95","7","5","MARROM","G205","P4","","79","47","6",,,"2.29","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F474_C%C3%A1psulas_1_2024-02-08-12-03-20.jpg","1.81","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F474_Gr%C3%A3os%20-%20contagem_1_2024-02-08-12-07-37.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F474_Gr%C3%A3os%20-%20Cor_1_2024-02-08-12-07-50.jpg",,,,,,,,,,
"475","95","7","5","MARROM","G205","P5","","85","61","4",,,"5.12","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F475_C%C3%A1psulas_1_2024-02-08-12-08-48.jpg","0.97","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F475_Gr%C3%A3os%20-%20contagem_1_2024-02-08-12-11-33.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F475_Gr%C3%A3os%20-%20Cor_1_2024-02-08-12-11-48.jpg",,,,,,,,,,
"476","96","7","6","MARROM","G206","P1","",,,,,,,,,,,,,,,,,,,,
"477","96","7","6","MARROM","G206","P2","",,,,,,,,,,,,,,,,,,,,
"478","96","7","6","MARROM","G206","P3","",,,,,,,,,,,,,,,,,,,,
"479","96","7","6","MARROM","G206","P4","",,,,,,,,,,,,,,,,,,,,
"480","96","7","6","MARROM","G206","P5","",,,,,,,,,,,,,,,,,,,,
"481","97","7","7","MARROM","G211","P1","",,,,,,,,,,,,,,,,,,,,
"482","97","7","7","MARROM","G211","P2","",,,,,,,,,,,,,,,,,,,,
"483","97","7","7","MARROM","G211","P3","",,,,,,,,,,,,,,,,,,,,
"484","97","7","7","MARROM","G211","P4","",,,,,,,,,,,,,,,,,,,,
"485","97","7","7","MARROM","G211","P5","",,,,,,,,,,,,,,,,,,,,
"486","98","7","8","MARROM","G215","P1","","76","45","5",,,"5.84","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F486_C%C3%A1psulas_1_2024-02-22-02-42-50.jpg","4.63","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F486_Gr%C3%A3os%20-%20contagem_1_2024-02-22-02-51-33.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F486_Gr%C3%A3os%20-%20Cor_1_2024-02-22-02-52-08.jpg",,,,,,,,,,
"487","98","7","8","MARROM","G215","P2","","78","46","5",,,"4.72","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F487_C%C3%A1psulas_1_2024-02-22-02-43-59.jpg","3.72","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F487_Gr%C3%A3os%20-%20contagem_1_2024-02-22-02-52-49.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F487_Gr%C3%A3os%20-%20Cor_1_2024-02-22-02-52-58.jpg",,,,,,,,,,
"488","98","7","8","MARROM","G215","P3","","83","43","4",,,"5.34","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F488_C%C3%A1psulas_1_2024-02-22-02-46-24.jpg","4.13","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F488_Gr%C3%A3os%20-%20contagem_1_2024-02-22-02-53-35.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F488_Gr%C3%A3os%20-%20Cor_1_2024-02-22-02-53-44.jpg",,,,,,,,,,
"489","98","7","8","MARROM","G215","P4","","87","53","4",,,"3.07","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F489_C%C3%A1psulas_1_2024-02-22-02-45-20.jpg","2.34","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F489_Gr%C3%A3os%20-%20contagem_1_2024-02-22-02-54-28.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F489_Gr%C3%A3os%20-%20Cor_1_2024-02-22-02-54-34.jpg",,,,,,,,,,
"490","98","7","8","MARROM","G215","P5","","72","42","5",,,"2.61","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F490_C%C3%A1psulas_1_2024-02-22-02-47-22.jpg","2.05","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F490_Gr%C3%A3os%20-%20contagem_1_2024-02-22-02-55-15.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F490_Gr%C3%A3os%20-%20Cor_1_2024-02-22-02-55-37.jpg",,,,,,,,,,
"491","99","7","9","MARROM","G216","P1","","80","58","3",,,"4.40","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F491_C%C3%A1psulas_1_2023-10-13-09-51-45.jpg","2.85","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F491_Gr%C3%A3os%20-%20contagem_1_2023-10-13-10-24-15.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F491_Gr%C3%A3os%20-%20Cor_1_2023-10-13-10-27-45.jpg",,,,,,,"Dourado",,,
"492","99","7","9","MARROM","G216","P2","","90","70","2",,,"6.73","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F492_C%C3%A1psulas_1_2023-10-13-09-54-56.jpg","4.87","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F492_Gr%C3%A3os%20-%20contagem_1_2023-10-13-10-32-18.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F492_Gr%C3%A3os%20-%20Cor_1_2023-10-13-10-33-19.jpg",,,,,,,"Marrom",,,
"493","99","7","9","MARROM","G216","P3","","75","56","1",,,"3.45","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F493_C%C3%A1psulas_1_2023-10-13-09-58-28.jpg","2.57","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F493_Gr%C3%A3os%20-%20contagem_1_2023-10-13-10-35-07.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F493_Gr%C3%A3os%20-%20Cor_1_2023-10-13-10-35-56.jpg",,,,,,,"Dourado",,,
"494","99","7","9","MARROM","G216","P4","","82","71","3",,,"3.25","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F494_C%C3%A1psulas_1_2023-10-13-10-01-23.jpg","2.43","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F494_Gr%C3%A3os%20-%20contagem_1_2023-10-13-10-37-46.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F494_Gr%C3%A3os%20-%20Cor_1_2023-10-13-10-38-45.jpg",,,,,,,"Marrom",,,
"495","99","7","9","MARROM","G216","P5","","90","71","3",,,"6.03","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F495_C%C3%A1psulas_1_2023-10-13-10-04-09.jpg","4.57","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F495_Gr%C3%A3os%20-%20contagem_1_2023-10-13-10-40-36.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F495_Gr%C3%A3os%20-%20Cor_1_2023-10-13-10-41-39.jpg",,,,,,,"Dourado",,,
"496","100","7","10","MARROM","G218","P1","","78","50","5",,,"5.2","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F496_C%C3%A1psulas_1_2024-02-20-04-57-03.jpg","3.97","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F496_Gr%C3%A3os%20-%20contagem_1_2024-02-20-05-10-12.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F496_Gr%C3%A3os%20-%20Cor_1_2024-02-20-05-10-20.jpg",,,,,,,,,,
"497","100","7","10","MARROM","G218","P2","","84.5","57","7",,,"3.19","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F497_C%C3%A1psulas_1_2024-02-20-04-57-27.jpg","2.52","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F497_Gr%C3%A3os%20-%20contagem_1_2024-02-20-05-11-32.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F497_Gr%C3%A3os%20-%20Cor_1_2024-02-20-05-11-51.jpg",,,,,,,,,,
"498","100","7","10","MARROM","G218","P3","","96","65","6",,,"8.5","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F498_C%C3%A1psulas_1_2024-02-20-04-58-10.jpg","6.6","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F498_Gr%C3%A3os%20-%20contagem_1_2024-02-20-05-13-16.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F498_Gr%C3%A3os%20-%20Cor_1_2024-02-20-05-13-26.jpg",,,,,,,,,,
"499","100","7","10","MARROM","G218","P4","","84","57","7",,"10","7.07","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F499_C%C3%A1psulas_1_2024-02-20-04-58-52.jpg","5.53","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F499_Gr%C3%A3os%20-%20contagem_1_2024-02-20-05-14-30.jpg",,,,,,,,,,,
"500","100","7","10","MARROM","G218","P5","","80","58","4",,,"3.01","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F500_C%C3%A1psulas_1_2024-02-20-04-59-27.jpg","2.41","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F500_Gr%C3%A3os%20-%20contagem_1_2024-02-20-05-15-50.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F500_Gr%C3%A3os%20-%20Cor_1_2024-02-20-05-15-56.jpg",,,,,,,,,,
"501","101","7","11","MARROM","G219","P1","","110","85","5",,,"2.07","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F501_C%C3%A1psulas_1_2023-11-23-02-18-48.jpg","1.18","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F501_Gr%C3%A3os%20-%20contagem_1_2023-11-23-02-34-42.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F501_Gr%C3%A3os%20-%20Cor_1_2023-11-23-02-35-03.jpg",,,,,,,,,,
"502","101","7","11","MARROM","G219","P2","","87","55","11",,,"3.25","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F502_C%C3%A1psulas_1_2023-11-23-02-20-53.jpg","2.37","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F502_Gr%C3%A3os%20-%20contagem_1_2023-11-23-02-38-05.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F502_Gr%C3%A3os%20-%20Cor_1_2023-11-23-02-38-31.jpg",,,,,,,,,,
